time (s),v("/S0" ?result "tran") (V),v("/Vin" ?result "tran") (V)
0.000,16.84E-9,0.000
20.00E-9,16.84E-9,20.00E-3
46.19E-9,16.84E-9,46.19E-3
77.87E-9,16.84E-9,77.87E-3
141.2E-9,16.84E-9,141.2E-3
267.9E-9,16.84E-9,267.9E-3
521.4E-9,16.84E-9,521.4E-3
606.8E-9,16.84E-9,606.8E-3
649.5E-9,16.84E-9,649.5E-3
670.9E-9,16.84E-9,670.9E-3
713.6E-9,16.84E-9,713.6E-3
726.3E-9,16.84E-9,726.3E-3
751.5E-9,16.84E-9,751.5E-3
777.6E-9,16.84E-9,777.6E-3
783.2E-9,16.84E-9,783.2E-3
794.2E-9,16.84E-9,794.2E-3
809.6E-9,16.84E-9,809.6E-3
833.4E-9,16.84E-9,833.4E-3
861.2E-9,16.84E-9,861.2E-3
902.3E-9,16.84E-9,902.3E-3
947.1E-9,16.84E-9,947.1E-3
958.7E-9,16.84E-9,958.7E-3
964.5E-9,16.84E-9,964.5E-3
967.5E-9,16.84E-9,967.5E-3
973.3E-9,16.84E-9,973.3E-3
977.6E-9,16.84E-9,977.6E-3
982.7E-9,16.84E-9,982.7E-3
988.0E-9,16.84E-9,988.0E-3
989.0E-9,16.84E-9,989.0E-3
989.6E-9,16.84E-9,989.6E-3
990.5E-9,16.84E-9,990.5E-3
990.6E-9,16.84E-9,990.6E-3
990.9E-9,16.84E-9,990.9E-3
991.1E-9,16.84E-9,991.1E-3
991.3E-9,16.84E-9,991.3E-3
991.4E-9,16.84E-9,991.4E-3
991.4E-9,16.84E-9,991.4E-3
991.5E-9,16.84E-9,991.5E-3
991.5E-9,16.84E-9,991.5E-3
991.5E-9,16.84E-9,991.5E-3
991.6E-9,16.84E-9,991.6E-3
991.6E-9,16.84E-9,991.6E-3
991.6E-9,16.84E-9,991.6E-3
991.7E-9,16.84E-9,991.7E-3
991.7E-9,16.84E-9,991.7E-3
991.7E-9,16.84E-9,991.7E-3
991.8E-9,16.84E-9,991.8E-3
991.8E-9,16.84E-9,991.8E-3
991.9E-9,16.84E-9,991.9E-3
991.9E-9,16.84E-9,991.9E-3
991.9E-9,16.84E-9,991.9E-3
991.9E-9,16.84E-9,991.9E-3
992.0E-9,16.84E-9,992.0E-3
992.0E-9,16.84E-9,992.0E-3
992.0E-9,16.84E-9,992.0E-3
992.0E-9,16.84E-9,992.0E-3
992.0E-9,16.84E-9,992.0E-3
992.0E-9,16.84E-9,992.0E-3
992.1E-9,16.84E-9,992.1E-3
992.1E-9,16.84E-9,992.1E-3
992.1E-9,16.84E-9,992.1E-3
992.1E-9,16.84E-9,992.1E-3
992.2E-9,16.84E-9,992.2E-3
992.2E-9,16.84E-9,992.2E-3
992.2E-9,16.84E-9,992.2E-3
992.3E-9,16.84E-9,992.3E-3
992.3E-9,16.84E-9,992.3E-3
992.4E-9,16.84E-9,992.4E-3
992.4E-9,16.84E-9,992.4E-3
992.5E-9,16.84E-9,992.5E-3
992.5E-9,16.84E-9,992.5E-3
992.5E-9,16.84E-9,992.5E-3
992.6E-9,16.84E-9,992.6E-3
992.6E-9,16.84E-9,992.6E-3
992.6E-9,16.84E-9,992.6E-3
992.7E-9,16.84E-9,992.7E-3
992.7E-9,16.84E-9,992.7E-3
992.8E-9,16.84E-9,992.8E-3
992.8E-9,16.84E-9,992.8E-3
992.8E-9,16.84E-9,992.8E-3
992.9E-9,16.84E-9,992.9E-3
992.9E-9,16.84E-9,992.9E-3
992.9E-9,16.84E-9,992.9E-3
993.0E-9,16.84E-9,993.0E-3
993.0E-9,16.84E-9,993.0E-3
993.0E-9,16.84E-9,993.0E-3
993.1E-9,16.84E-9,993.1E-3
993.1E-9,16.84E-9,993.1E-3
993.1E-9,16.84E-9,993.1E-3
993.2E-9,16.84E-9,993.2E-3
993.2E-9,16.84E-9,993.2E-3
993.2E-9,16.84E-9,993.2E-3
993.3E-9,16.84E-9,993.3E-3
993.3E-9,16.84E-9,993.3E-3
993.4E-9,16.84E-9,993.4E-3
993.4E-9,16.84E-9,993.4E-3
993.4E-9,16.84E-9,993.4E-3
993.4E-9,16.84E-9,993.4E-3
993.5E-9,16.84E-9,993.5E-3
993.5E-9,16.84E-9,993.5E-3
993.6E-9,16.84E-9,993.6E-3
993.6E-9,16.84E-9,993.6E-3
993.6E-9,16.84E-9,993.6E-3
993.7E-9,16.84E-9,993.7E-3
993.7E-9,16.84E-9,993.7E-3
993.7E-9,16.84E-9,993.7E-3
